restaurant, days
"Proof & Pantry","Monday,Wednesday,Friday 5:15am-1:45pm / Tuesday 12:45pm-3:30pm / Thursday 5:15pm-1:00am / Saturday 5:45am-11:00pm / Sunday 7:45am-8:15am"
"Howard Wang's Uptown China Brasserie","Monday 9:15am-1:45pm / Tuesday 1:30pm-1:15am / Wednesday 1:45pm-10:30pm / Thursday 5:30am-9:15am / Friday,Sunday 3:45pm-9:45pm / Saturday 11:00am-7:45pm"
"Remington's Seafood Grill","Monday 5:30pm-6:15pm / Tuesday 4:00pm-1:45am / Wednesday 5:00am-3:45am / Thursday 4:45pm-9:30pm / Friday 2:45pm-5:15pm / Saturday 10:00am-11:00am / Sunday 5:00am-1:30am"
"Buca di Beppo -Park Lane","Monday,Wednesday 9:45am-11:00am / Tuesday,Thursday 1:15pm-4:30pm / Friday 6:45am-12:15pm / Saturday 6:45am-10:30pm / Sunday 9:45am-2:45pm"
"Winewood","Monday 4:45pm-3:45am / Tuesday-Thursday 8:30am-9:30pm / Friday,Sunday 3:00pm-9:45pm / Saturday 5:45pm-2:00am"
"Posados Cafe -Plano","Monday,Thursday 10:45am-4:15pm / Tuesday 5:30pm-11:45pm / Wednesday 3:00pm-3:45am / Friday,Sunday 2:45pm-11:15pm / Saturday 8:30am-7:15pm"
"Barter","Monday-Tuesday 6:00am-11:00pm / Wednesday-Thursday 8:00am-6:30pm / Friday,Sunday 11:30am-12:30pm / Saturday 5:15pm-10:00pm"
"Asador","Monday 7:00am-6:45pm / Tuesday 10:45am-4:00pm / Wednesday 5:45pm-3:00am / Thursday,Saturday 10:45am-11:30am / Friday 5:30pm-11:15pm / Sunday 12:30pm-5:45pm"
"Pakpao Thai Food","Monday,Wednesday 10:45am-11:45pm / Tuesday 6:00am-11:30am / Thursday 5:00am-4:45pm / Friday 7:00am-8:00pm / Saturday 3:15pm-1:45am / Sunday 6:30am-6:30pm"
"Maggiano's -Willow Bend","Sunday-Monday 9:30am-5:15pm / Tuesday 4:30pm-12:45pm / Wednesday,Saturday 5:45pm-9:15pm / Thursday-Friday 11:15am-1:30pm"
"Sambuca -Dallas Uptown","Monday 10:15am-5:15pm / Tuesday 1:30pm-5:45pm / Wednesday-Thursday 8:00am-3:00am / Friday 2:00pm-8:00pm / Saturday 6:30am-9:45am / Sunday 8:45am-3:30pm"
"Zodiac at Neiman Marcus – Downtown Dallas","Monday 4:00pm-7:00pm / Tuesday-Wednesday 7:15am-11:45pm / Thursday 1:15pm-12:00pm / Friday 7:30am-12:30pm / Saturday 11:00am-3:30pm / Sunday 11:30am-7:15pm"
"Misto Bistro","Monday 10:45am-12:00pm / Tuesday,Sunday 5:45pm-10:45pm / Wednesday 1:00pm-7:15pm / Thursday 10:15am-6:15pm / Friday-Saturday 6:00am-8:45am"
"Saint Ann Restaurant and Bar","Monday 12:30pm-1:15pm / Tuesday 1:45pm-9:45pm / Wednesday 10:00am-11:45am / Thursday 4:15pm-2:15am / Friday 2:15pm-4:30pm / Saturday-Sunday 1:15pm-3:45pm"
"DISH -Dallas","Monday 1:15pm-6:15pm / Tuesday,Friday 5:30am-11:30am / Wednesday 11:15am-1:00am / Thursday 10:15am-3:45pm / Saturday-Sunday 5:15pm-7:45pm"
"Benihana -Dallas","Monday-Tuesday,Friday 4:45pm-12:30pm / Wednesday 5:30am-7:15pm / Thursday,Saturday 4:30pm-6:30pm / Sunday 2:15pm-11:30pm"
"Dream Cafe","Monday 5:30am-2:00am / Tuesday 5:15pm-1:45am / Wednesday 2:00pm-4:15pm / Thursday 8:00am-12:30pm / Friday-Saturday 8:00am-11:30am / Sunday 6:00am-1:00am"
"Dallas Fish Market","Monday 9:00am-4:30pm / Tuesday 1:00pm-1:45am / Wednesday 7:30am-9:15pm / Thursday 2:45pm-9:45pm / Friday,Sunday 2:45pm-8:00pm / Saturday 11:30am-2:30pm"
"Cast Iron at the Omni Fort Worth","Monday 8:00am-9:00am / Tuesday-Wednesday,Friday 7:45am-2:30pm / Thursday 3:15pm-7:45pm / Saturday 10:45am-12:00pm / Sunday 12:00pm-3:15am"
"Buca di Beppo -Southlake","Sunday-Tuesday 3:45pm-2:15am / Wednesday 10:00am-3:45pm / Thursday-Friday 1:30pm-1:00am / Saturday 2:45pm-2:30am"
"Edoko Sushi","Monday,Saturday 6:45am-5:30pm / Tuesday 1:00pm-3:45am / Wednesday 10:45am-1:15pm / Thursday-Friday 5:45pm-9:00pm / Sunday 12:15pm-2:45am"
"Kenny's Italian Kitchen","Monday 5:15pm-2:00am / Tuesday-Wednesday 8:15am-1:30am / Thursday 12:00pm-9:45pm / Friday 6:30am-10:30am / Saturday 8:45am-1:30am / Sunday 8:00am-12:30pm"
"Texas Spice","Monday 5:00am-5:15pm / Tuesday-Wednesday 4:00pm-12:00pm / Thursday 9:00am-9:15pm / Friday 9:30am-2:00am / Saturday 1:45pm-8:00pm / Sunday 7:15am-9:30pm"
"Artin's Grill","Monday 5:00pm-9:15pm / Tuesday-Wednesday 7:45am-5:30pm / Thursday 4:30pm-8:15pm / Friday 2:00pm-6:30pm / Saturday 12:30pm-5:15pm / Sunday 6:30am-2:30am"
"Jaxx Steakhouse","Monday 9:30am-10:00am / Tuesday,Saturday 11:45am-10:45pm / Wednesday,Friday 2:45pm-1:30am / Thursday 2:30pm-3:30am / Sunday 10:15am-8:30pm"
"Ziziki's -N. Dallas","Monday-Tuesday 3:00pm-3:30am / Wednesday-Thursday 11:00am-9:00pm / Friday 4:45pm-7:00pm / Saturday 6:30am-4:45pm / Sunday 4:30pm-12:00pm"
"Roy's Plano","Monday-Tuesday 10:00am-7:30pm / Wednesday,Sunday 6:30am-1:00pm / Thursday 9:00am-11:15pm / Friday-Saturday 5:00am-5:45pm"
"Ziziki's- Plano","Monday 2:30pm-12:30pm / Tuesday 2:30pm-4:45pm / Wednesday 5:00pm-1:00am / Thursday 9:45am-1:30pm / Friday 2:15pm-3:15am / Saturday 8:15am-3:30am / Sunday 1:45pm-3:15pm"
"Meddlesome Moth","Monday-Tuesday,Friday 2:30pm-4:00pm / Wednesday-Thursday 12:00pm-2:45pm / Saturday 12:15pm-11:15pm / Sunday 6:30am-12:00pm"
"RockIsland (Demo/Test)","Monday 8:00am-9:00am / Tuesday,Thursday-Friday 8:30am-2:45pm / Wednesday 1:45pm-5:15pm / Saturday 6:30am-9:45pm / Sunday 1:00pm-7:45pm"
"Ragnars","Monday 8:15am-11:30pm / Tuesday 1:30pm-7:00pm / Wednesday-Thursday 8:00am-10:45pm / Friday,Sunday 5:30pm-7:45pm / Saturday 1:15pm-4:30pm"
"Downing Street Grill","Monday,Wednesday 1:30pm-3:30pm / Tuesday,Sunday 1:15pm-2:45pm / Thursday,Saturday 4:00pm-9:00pm / Friday 1:30pm-3:15am"
"TAG","Monday,Friday 7:15am-11:45pm / Tuesday 10:45am-8:15pm / Wednesday 12:15pm-7:00pm / Thursday 11:45am-3:30am / Saturday 5:45pm-12:30pm / Sunday 8:15am-11:45am"
"Rio Grande -Frisco","Monday-Tuesday 3:45pm-12:30pm / Wednesday 7:00am-1:15am / Thursday 8:00am-11:30pm / Friday,Sunday 11:45am-4:30pm / Saturday 1:00pm-3:30am"
"Tempranillo","Monday 8:15am-1:45pm / Tuesday 1:45pm-6:45pm / Wednesday 5:00am-11:45am / Thursday,Saturday 7:15am-8:30am / Friday 4:00pm-12:45pm / Sunday 8:30am-2:00pm"
"Square Grouper","Monday 7:15am-2:15pm / Tuesday 5:15am-4:15pm / Wednesday 5:30am-7:45am / Thursday,Saturday 11:30am-1:30pm / Friday 5:30am-8:15am / Sunday 9:15am-2:45pm"
"Banzai Sushi","Monday 8:15am-1:15am / Tuesday 9:30am-2:00am / Wednesday 1:30pm-5:15pm / Thursday 8:45am-3:45am / Friday-Saturday 5:00am-4:00pm / Sunday 11:15am-2:45pm"
"Atticus","Monday 5:30pm-3:15am / Tuesday,Saturday 2:00pm-7:15pm / Wednesday 5:30am-6:00am / Thursday 11:45am-1:15pm / Friday,Sunday 11:45am-11:45pm"
"Bramble & Hare","Monday-Tuesday 10:15am-6:15pm / Wednesday,Sunday 6:15am-11:00am / Thursday,Saturday 1:30pm-3:00am / Friday 5:45pm-8:30pm"
"Tapas D Jerez","Monday 3:15pm-6:45pm / Tuesday-Wednesday 2:00pm-3:30am / Thursday,Saturday 10:45am-1:00am / Friday 2:00pm-3:00pm / Sunday 5:30am-2:00pm"
"Flavor Telluride","Monday 6:45am-12:00pm / Tuesday-Thursday 1:00pm-7:45pm / Friday 11:15am-10:30pm / Saturday 3:00pm-10:30pm / Sunday 9:45am-3:30pm"
"Gaia Bistro","Monday,Thursday 7:00am-11:45pm / Tuesday 6:00am-10:15pm / Wednesday,Friday 3:30pm-2:15am / Saturday-Sunday 5:15pm-6:45pm"
"Izakaya Den","Monday 2:15pm-12:15pm / Tuesday-Wednesday 9:45am-3:00pm / Thursday 7:45am-12:15pm / Friday,Sunday 4:15pm-7:45pm / Saturday 12:30pm-2:45pm"
"Beatrice & Woodsley","Monday-Tuesday 1:45pm-3:30pm / Wednesday 9:15am-3:00pm / Thursday 12:45pm-2:45am / Friday 10:30am-9:00pm / Saturday 8:30am-5:30pm / Sunday 4:15pm-7:15pm"
"Talay Grille","Monday 12:15pm-10:15pm / Tuesday 10:00am-1:45pm / Wednesday 8:15am-12:45pm / Thursday 3:15pm-9:15pm / Friday 5:45pm-1:30am / Saturday 6:45am-10:00pm / Sunday 10:30am-11:00am"
"Table 6","Monday,Thursday 10:00am-1:15am / Tuesday 3:45pm-3:45am / Wednesday 1:30pm-8:15pm / Friday 12:45pm-10:45pm / Saturday 12:45pm-5:30pm / Sunday 2:15pm-8:00pm"
"Deno's Mountain Bistro","Monday 11:45am-3:45pm / Tuesday 5:45am-1:15am / Wednesday,Saturday 1:30pm-9:00pm / Thursday-Friday 10:15am-11:15am / Sunday 11:45am-6:15pm"
"Ember","Monday,Saturday 5:00pm-9:15pm / Tuesday 7:30am-12:45pm / Wednesday 10:45am-12:00pm / Thursday 3:00pm-6:30pm / Friday 9:45am-8:30pm / Sunday 10:00am-12:15pm"
"Atwater on Gore Creek","Monday 11:15am-1:30pm / Tuesday-Wednesday 2:00pm-6:00pm / Thursday,Sunday 3:45pm-8:15pm / Friday 11:45am-12:15pm / Saturday 1:15pm-10:15pm"
"Gumbos","Monday-Tuesday 11:00am-2:00am / Wednesday 3:15pm-6:30pm / Thursday 3:30pm-11:45pm / Friday 1:45pm-3:45am / Saturday 5:45am-7:45am / Sunday 8:30am-9:00pm"
"Hapa Sushi Grill and Sake Bar Lodo","Monday 5:15am-6:15pm / Tuesday 11:45am-1:30pm / Wednesday 3:45pm-4:15pm / Thursday 6:45am-11:30am / Friday-Saturday 2:30pm-12:30pm / Sunday 10:15am-2:30am"
"Haymaker Patio & Grill","Monday-Tuesday 5:00pm-12:15pm / Wednesday 2:30pm-12:45pm / Thursday 5:00am-10:15am / Friday 9:30am-8:30pm / Saturday 6:30am-4:15pm / Sunday 9:00am-3:45pm"
"Carmine's On Penn","Monday-Tuesday 4:45pm-5:45pm / Wednesday 2:15pm-4:45pm / Thursday 1:15pm-9:15pm / Friday-Saturday 10:15am-11:30am / Sunday 5:30pm-7:45pm"
"Kona Grill -Denver","Monday-Tuesday 10:15am-12:45pm / Wednesday,Saturday 1:00pm-6:30pm / Thursday,Sunday 1:30pm-3:15pm / Friday 8:00am-5:45pm"
"Kachina Southwestern Grill","Monday,Saturday 9:00am-9:15pm / Tuesday 1:00pm-11:45pm / Wednesday-Thursday 6:00am-8:30pm / Friday 7:00am-12:00pm / Sunday 3:45pm-1:15am"
"Little India Restaurant -Belmar","Monday-Tuesday 7:30am-4:00pm / Wednesday 8:00am-3:15am / Thursday 10:00am-11:30am / Friday 2:15pm-11:30pm / Saturday 9:30am-5:45pm / Sunday 2:30pm-4:15pm"
"Buffalo Wild Wings Bar and Grill","Monday-Tuesday 6:15am-8:00pm / Wednesday 8:00am-2:15pm / Thursday 6:30am-2:00am / Friday 1:00pm-12:45pm / Saturday 2:15pm-6:45pm / Sunday 1:30pm-1:00am"
"East by Southwest","Monday,Thursday 6:15am-8:30am / Tuesday 5:00pm-12:30pm / Wednesday 12:00pm-12:45pm / Friday 10:15am-1:30pm / Saturday 4:00pm-12:15pm / Sunday 2:00pm-10:00pm"
"ELWAY'S Downtown","Monday 8:45am-6:00pm / Tuesday,Friday 3:45pm-6:00pm / Wednesday 5:45pm-7:30pm / Thursday,Sunday 5:00pm-7:15pm / Saturday 11:00am-8:45pm"
"Low Country Kitchen","Monday 12:15pm-10:30pm / Tuesday,Sunday 12:30pm-11:45pm / Wednesday 8:15am-6:00pm / Thursday-Friday 10:45am-11:15pm / Saturday 12:45pm-6:15pm"
"Colterra","Monday,Thursday-Friday 7:45am-8:00am / Tuesday 12:30pm-12:00pm / Wednesday 9:15am-7:15pm / Saturday 6:00am-11:45am / Sunday 7:00am-5:00pm"
"Twin Owls Steakhouse","Sunday-Monday 5:00pm-2:30am / Tuesday,Thursday 7:15am-9:00pm / Wednesday 2:45pm-11:30pm / Friday 7:15am-11:45am / Saturday 5:45am-12:45pm"
"Firenze a Tavola","Sunday-Tuesday 7:00am-3:00pm / Wednesday 2:15pm-9:45pm / Thursday 12:30pm-10:45pm / Friday 6:15am-7:15am / Saturday 6:00am-8:00am"
"Beano's Cabin","Monday-Tuesday 5:00pm-6:15pm / Wednesday 3:45pm-5:00pm / Thursday-Friday 12:45pm-3:45pm / Saturday 8:00am-11:30am / Sunday 3:00pm-2:00am"
"Blue River Bistro","Monday,Thursday 7:30am-9:45am / Tuesday-Wednesday 5:30am-8:15am / Friday 2:30pm-8:00pm / Saturday 7:30am-9:30pm / Sunday 8:45am-9:30pm"
"Bol Restaurant","Monday-Tuesday,Friday 9:45am-5:15pm / Wednesday 7:30am-3:45am / Thursday 8:00am-5:45pm / Saturday 3:45pm-1:45am / Sunday 10:30am-9:30pm"
"Mercantile Dining and Provision","Monday,Thursday 3:00pm-10:15pm / Tuesday,Saturday 9:30am-8:45pm / Wednesday 5:00am-8:15am / Friday,Sunday 11:30am-7:15pm"
"Jose Muldoon's","Monday,Thursday 2:45pm-7:45pm / Tuesday 1:15pm-3:00pm / Wednesday 5:00pm-6:45pm / Friday 6:00am-10:00pm / Saturday 2:15pm-9:45pm / Sunday 1:00pm-2:30am"
"Sushi Den","Monday-Tuesday,Saturday 11:00am-3:15pm / Wednesday,Sunday 8:00am-10:15am / Thursday 10:30am-8:00pm / Friday 12:00pm-8:15pm"
"Terra Bistro","Monday 6:15am-2:45pm / Tuesday 10:45am-12:30pm / Wednesday 12:30pm-9:15pm / Thursday,Sunday 4:30pm-8:00pm / Friday 9:30am-8:45pm / Saturday 2:15pm-11:45pm"
"Flatz","Monday 2:15pm-12:00pm / Tuesday 3:45pm-2:00am / Wednesday 12:15pm-10:00pm / Thursday 5:30pm-3:15am / Friday 2:00pm-8:15pm / Saturday 6:45am-2:45pm / Sunday 4:00pm-2:00am"
"Buon Appetito","Monday 4:45pm-2:30am / Tuesday 1:45pm-1:00am / Wednesday 9:00am-8:15pm / Thursday-Friday 8:45am-3:30pm / Saturday 4:15pm-8:45pm / Sunday 4:45pm-6:45pm"
"The Perfect Landing","Monday-Tuesday 5:15pm-3:00am / Wednesday 5:00pm-9:45pm / Thursday-Friday 12:30pm-2:30pm / Saturday 8:00am-2:45pm / Sunday 11:45am-12:30pm"
"Brook's Steak House & Cellar","Monday 6:45am-10:00am / Tuesday-Wednesday 9:15am-11:00pm / Thursday 2:15pm-8:45pm / Friday 5:30pm-11:45pm / Saturday-Sunday 1:15pm-7:45pm"
"Keystone Ranch Restaurant","Monday,Thursday 9:30am-3:45pm / Tuesday 3:30pm-11:15pm / Wednesday 5:15pm-9:45pm / Friday 5:30am-11:30am / Saturday 2:30pm-12:15pm / Sunday 10:00am-6:45pm"
"Starlight Dinners at TenMile Station","Monday,Wednesday 7:45am-6:15pm / Tuesday 4:00pm-11:30pm / Thursday 4:15pm-8:30pm / Friday 10:00am-2:00pm / Saturday 6:00am-9:30am / Sunday 10:30am-9:45pm"
"Village Tavern Broomfield","Sunday-Monday 10:45am-4:00pm / Tuesday 8:30am-12:00pm / Wednesday,Friday 9:15am-3:15am / Thursday 2:30pm-11:00pm / Saturday 1:30pm-9:00pm"
"P17","Monday 1:45pm-10:45pm / Tuesday 12:00pm-11:30pm / Wednesday,Sunday 6:00am-1:30am / Thursday 3:30pm-4:15pm / Friday-Saturday 1:30pm-2:30am"
"The 9th Door -Beauvallon","Monday,Thursday 7:00am-9:00am / Tuesday 9:00am-3:15pm / Wednesday 1:30pm-11:15pm / Friday 12:00pm-3:45am / Saturday 1:45pm-1:45am / Sunday 2:00pm-10:15pm"
"The Table Top","Monday,Wednesday 7:30am-2:30pm / Tuesday 2:15pm-5:15pm / Thursday,Sunday 5:45am-1:30am / Friday 9:30am-7:45pm / Saturday 9:15am-1:30pm"
"Lake Terrace -The Broadmoor","Monday 8:45am-4:15pm / Tuesday,Friday 6:30am-2:15am / Wednesday,Saturday 9:00am-1:30pm / Thursday 11:00am-12:30pm / Sunday 10:00am-1:30pm"
"The Nickel -Hotel Teatro","Monday 5:00pm-8:45pm / Tuesday,Saturday 1:00pm-9:15pm / Wednesday 10:45am-12:45pm / Thursday-Friday 9:45am-2:30am / Sunday 1:45pm-3:15am"
"The Populist","Monday 11:00am-3:30pm / Tuesday,Sunday 8:15am-11:45am / Wednesday 4:30pm-11:45pm / Thursday 3:30pm-4:45pm / Friday 5:15am-6:00am / Saturday 9:15am-7:15pm"
"The Fort","Monday-Tuesday 9:30am-3:00am / Wednesday 5:00am-12:15pm / Thursday 11:30am-1:00pm / Friday,Sunday 12:30pm-6:30pm / Saturday 9:15am-3:30pm"
"Mateo","Monday 10:00am-2:30am / Tuesday,Sunday 4:30pm-7:00pm / Wednesday 3:15pm-7:30pm / Thursday 3:15pm-10:15pm / Friday 3:00pm-4:15pm / Saturday 3:00pm-12:00pm"
"Boulder ChopHouse & Tavern","Monday-Tuesday,Thursday-Friday 5:30am-1:45pm / Wednesday,Sunday 5:45pm-3:30am / Saturday 3:15pm-1:45am"
"Boulder Cork","Monday,Wednesday 10:00am-10:45pm / Tuesday,Saturday 7:30am-5:30pm / Thursday 10:15am-10:00pm / Friday 7:45am-1:30pm / Sunday 1:45pm-3:45pm"
"Game Creek Restaurant","Monday,Thursday 3:15pm-1:45am / Tuesday 9:45am-11:00am / Wednesday 10:00am-9:30pm / Friday 8:30am-3:45pm / Saturday 5:00am-3:00am / Sunday 12:30pm-3:45pm"
"Der Fondue Chessel","Monday 2:15pm-9:30pm / Tuesday,Saturday 7:00am-8:15am / Wednesday 3:45pm-4:45pm / Thursday-Friday,Sunday 5:00am-11:15am"
"Sweet Basil","Monday-Tuesday 4:45pm-3:30am / Wednesday 4:30pm-2:15am / Thursday 4:00pm-11:00pm / Friday 11:45am-3:45am / Saturday 7:45am-11:45am / Sunday 1:45pm-3:45pm"
"Duo Restaurant","Monday,Friday 9:45am-10:15am / Tuesday 10:00am-1:00am / Wednesday 6:30am-10:30pm / Thursday 10:45am-4:30pm / Saturday 5:15am-5:30pm / Sunday 5:15pm-8:15pm"
"Denver Chophouse","Monday 1:45pm-6:45pm / Tuesday-Wednesday 4:00pm-6:00pm / Thursday 3:15pm-10:45pm / Friday 10:30am-7:15pm / Saturday-Sunday 11:45am-7:45pm"
"Four Points","Monday-Tuesday 12:45pm-4:00pm / Wednesday,Saturday 4:00pm-10:45pm / Thursday 11:15am-6:00pm / Friday 7:15am-3:00am / Sunday 4:45pm-6:45pm"
"SaddleRidge","Monday 1:15pm-2:45pm / Tuesday 11:30am-5:15pm / Wednesday 7:45am-5:45pm / Thursday 11:45am-7:30pm / Friday 12:15pm-12:30pm / Saturday-Sunday 10:15am-3:45am"
"Limelight Supper Club & Lounge","Monday,Saturday 5:30pm-2:45am / Tuesday-Wednesday 3:45pm-11:15pm / Thursday 10:00am-9:15pm / Friday 5:30am-6:15pm / Sunday 12:45pm-3:45am"
"Rio Grande -Ft. Collins","Monday 1:00pm-5:45pm / Tuesday 4:00pm-2:45am / Wednesday 12:45pm-5:45pm / Thursday-Friday 4:00pm-8:00pm / Saturday 5:00am-7:30pm / Sunday 12:15pm-10:30pm"
"Thirsty Lion -Denver","Monday-Tuesday 12:45pm-3:15am / Wednesday,Saturday 12:15pm-6:00pm / Thursday 8:00am-12:15pm / Friday 5:30pm-9:00pm / Sunday 7:15am-4:00pm"
"McLoughlin's Restaurant & Bar","Monday-Wednesday 6:30am-6:30pm / Thursday 6:45am-10:00pm / Friday 2:45pm-11:45pm / Saturday 5:15pm-8:15pm / Sunday 4:45pm-1:15am"
"El Moro Spirits & Tavern","Monday-Tuesday 9:15am-6:45pm / Wednesday 7:15am-5:00pm / Thursday 9:00am-3:00pm / Friday 4:45pm-3:15am / Saturday 12:45pm-3:00am / Sunday 8:45am-3:45am"
"Mirabelle Restaurant","Monday 10:45am-3:30am / Tuesday,Saturday 10:30am-8:30pm / Wednesday 12:15pm-2:30am / Thursday 6:15am-7:30pm / Friday 1:45pm-1:15am / Sunday 9:00am-11:30am"
"Briar Rose Chophouse & Saloon","Monday,Friday 12:45pm-10:30pm / Tuesday 1:00pm-3:30pm / Wednesday 2:00pm-11:45pm / Thursday 6:30am-1:30pm / Saturday 11:30am-2:15pm / Sunday 5:15am-12:45pm"
"Ship Tavern at the Brown Palace","Monday,Saturday 4:30pm-6:45pm / Tuesday 5:15am-6:30pm / Wednesday,Friday 4:30pm-9:15pm / Thursday 2:45pm-3:45am / Sunday 1:45pm-3:45am"
"Kelly Liken","Monday 12:30pm-9:15pm / Tuesday 3:45pm-4:15pm / Wednesday 5:30pm-10:30pm / Thursday 6:00am-12:45pm / Friday 2:30pm-2:45am / Saturday-Sunday 9:30am-1:45am"
"Larkspur Restaurant & Bar","Monday 2:30pm-7:30pm / Tuesday 9:30am-3:45am / Wednesday 4:30pm-3:45am / Thursday 10:15am-9:30pm / Friday 3:30pm-7:15pm / Saturday 1:15pm-4:30pm / Sunday 10:00am-2:00am"
"Fresh Fish Co.","Monday,Wednesday 12:45pm-11:15pm / Tuesday 7:00am-8:15am / Thursday 1:00pm-8:30pm / Friday 10:45am-9:00pm / Saturday 10:00am-2:45pm / Sunday 5:15am-9:15am"
"Alpenglow Stube","Monday-Tuesday,Thursday 5:45am-4:30pm / Wednesday 11:00am-6:45pm / Friday 4:30pm-2:00am / Saturday-Sunday 5:30am-5:15pm"
"Great Northern","Monday,Wednesday 10:00am-10:30pm / Tuesday 9:30am-12:15pm / Thursday 3:30pm-12:15pm / Friday 3:15pm-12:30pm / Saturday 11:00am-6:15pm / Sunday 11:45am-7:30pm"
"Palettes at the Denver Art Museum","Monday-Tuesday 10:15am-2:45pm / Wednesday 9:15am-7:15pm / Thursday 9:45am-11:30am / Friday 5:45am-8:00pm / Saturday 9:30am-3:00am / Sunday 1:30pm-7:45pm"
"The Capital Grille -Denver","Monday-Tuesday,Thursday 3:45pm-11:15pm / Wednesday 9:45am-7:45pm / Friday 12:30pm-9:00pm / Saturday-Sunday 7:45am-11:15pm"
"Morton's The Steakhouse -Denver","Monday,Wednesday 3:30pm-2:45am / Tuesday 5:15am-1:30pm / Thursday 5:45pm-1:45am / Friday 12:00pm-9:30pm / Saturday 11:30am-8:00pm / Sunday 2:00pm-4:45pm"
"Western BBQ","Sunday-Monday 1:45pm-3:30pm / Tuesday 4:15pm-9:15pm / Wednesday 5:30pm-7:45pm / Thursday 11:00am-3:15am / Friday 2:15pm-10:30pm / Saturday 4:45pm-1:00am"
"Cafe Mercato","Monday 1:00pm-11:00pm / Tuesday-Wednesday 12:15pm-3:45am / Thursday-Friday 10:15am-5:15pm / Saturday 5:00pm-9:30pm / Sunday 8:30am-12:15pm"
"Volcano Asian Cuisine","Monday 8:15am-11:15am / Tuesday 5:45am-3:15pm / Wednesday 4:45pm-10:45pm / Thursday 7:30am-6:15pm / Friday 1:00pm-10:15pm / Saturday 10:30am-7:45pm / Sunday 3:15pm-9:15pm"
"Phantom Canyon Brewing","Monday,Friday 3:15pm-3:00am / Tuesday 10:45am-12:45pm / Wednesday,Saturday 1:30pm-10:15pm / Thursday,Sunday 6:30am-9:30am"
"Dorchester Social Eatery","Monday-Tuesday 3:00pm-1:45am / Wednesday 9:00am-5:30pm / Thursday 8:45am-10:00am / Friday 11:45am-11:30pm / Saturday 9:15am-8:30pm / Sunday 11:45am-8:15pm"
"Bent Fork Grill -Loveland","Monday,Thursday 9:00am-2:15am / Tuesday,Friday 9:45am-3:30pm / Wednesday 8:00am-1:30am / Saturday 2:30pm-8:15pm / Sunday 4:30pm-6:45pm"
"The Keg Steakhouse + Bar","Monday 7:30am-2:00am / Tuesday,Friday 6:30am-9:30am / Wednesday,Saturday 5:30am-6:45pm / Thursday 7:00am-3:45pm / Sunday 6:30am-2:00pm"
"Matsuhisa -Aspen","Monday,Thursday 11:45am-12:30pm / Tuesday 12:45pm-3:00pm / Wednesday 5:00pm-10:00pm / Friday-Saturday 6:30am-2:45am / Sunday 7:45am-2:30pm"
"Ski Tip Lodge","Monday 5:00pm-10:30pm / Tuesday 3:15pm-5:30pm / Wednesday,Sunday 5:45pm-8:30pm / Thursday 2:15pm-5:15pm / Friday 1:30pm-3:30pm / Saturday 9:00am-6:45pm"
"Carlos' Bistro","Monday,Friday 5:45pm-3:15am / Tuesday 2:15pm-7:30pm / Wednesday 9:00am-5:30pm / Thursday 10:30am-4:30pm / Saturday-Sunday 5:45pm-9:00pm"
"Solera Restaurant & Wine Bar","Monday-Tuesday 9:45am-10:30pm / Wednesday-Thursday,Saturday 12:15pm-8:30pm / Friday,Sunday 6:30am-12:00pm"
"Cuvee World Bistro","Monday 7:45am-2:00am / Tuesday,Thursday 5:30pm-12:45pm / Wednesday 5:15pm-10:00pm / Friday 1:45pm-11:30pm / Saturday 9:30am-10:30pm / Sunday 5:15am-9:15pm"
"Element 47","Monday 2:15pm-2:00am / Tuesday 7:45am-6:15pm / Wednesday-Thursday 5:15am-5:15pm / Friday 9:15am-10:00pm / Saturday 12:15pm-4:15pm / Sunday 3:15pm-10:00pm"
"1515 Restaurant","Monday-Wednesday 11:00am-9:00pm / Thursday 6:00am-9:00pm / Friday 12:15pm-7:00pm / Saturday 2:45pm-1:30am / Sunday 7:00am-4:15pm"
"Bistro Vendome","Monday-Tuesday,Friday 10:30am-5:00pm / Wednesday 4:30pm-3:30am / Thursday,Sunday 9:45am-4:30pm / Saturday 9:00am-3:30am"
"Hearthstone Restaurant","Monday,Friday 2:15pm-3:15pm / Tuesday 11:30am-8:45pm / Wednesday 7:15am-10:00am / Thursday 7:00am-2:15pm / Saturday 3:00pm-7:30pm / Sunday 9:15am-6:15pm"
"Landry's Seafood House -Denver","Monday 12:15pm-2:15am / Tuesday 4:00pm-10:45pm / Wednesday 4:30pm-6:45pm / Thursday-Friday 4:30pm-5:00pm / Saturday 12:00pm-3:15pm / Sunday 11:15am-10:45pm"
"range","Monday 6:45am-11:45pm / Tuesday 12:00pm-11:45pm / Wednesday,Saturday 1:45pm-10:45pm / Thursday-Friday 5:15pm-6:00pm / Sunday 10:30am-6:45pm"
"221 South Oak Bistro","Monday,Friday 3:15pm-7:30pm / Tuesday-Wednesday 1:00pm-12:00pm / Thursday 1:15pm-4:45pm / Saturday 6:15am-3:15am / Sunday 5:30pm-10:30pm"
"Ale House @ Amato's","Monday 11:15am-11:45pm / Tuesday,Saturday 5:15am-1:45am / Wednesday 4:45pm-7:30pm / Thursday 10:30am-11:45pm / Friday 4:45pm-3:45am / Sunday 9:00am-11:45am"
